,Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
2190,BTC,3/12/2020,8086.71329,8147.422964,8229.641494,7906.017736
2191,BTC,3/13/2020,8242.34147,8056.694139,8332.291686,7729.678427
2192,BTC,3/14/2020,8334.68919,8299.624775,8509.705409,8196.045244
2193,BTC,3/15/2020,8274.464018,8334.710296,8389.015862,8178.694601
2194,BTC,3/16/2020,8204.843833,8274.457419,8413.650047,8061.325317
2195,BTC,3/17/2020,8164.902638,8232.786249,8241.948769,8015.419323
2196,BTC,3/18/2020,8138.146689,8164.901441,8197.249514,8026.500462
2197,BTC,3/19/2020,7854.693305,8139.833489,8172.568254,7803.464851
2198,BTC,3/20/2020,8237.208379,7851.684576,8305.140139,7778.631571
2199,BTC,3/21/2020,8202.637818,8237.205875,8317.990673,8114.111805
2200,BTC,3/22/2020,8573.380812,8174.838803,8692.072691,8118.91224
2201,BTC,3/23/2020,8583.144518,8573.382301,8655.382776,8436.18651
2202,BTC,3/24/2020,8321.171581,8583.148123,8797.457282,8289.227631
2203,BTC,3/25/2020,8329.60426,8321.168154,8407.142415,8226.301457
2204,BTC,3/26/2020,8283.177326,8310.172913,8469.97364,8168.264904
2205,BTC,3/27/2020,8338.818999,8283.181596,8386.55341,8215.318868
2206,BTC,3/28/2020,8163.44,8356,8421,8097.62
2207,BTC,3/29/2020,8004.820395,8167.344773,8185.386436,7919.275881
2208,BTC,3/30/2020,8059.058081,8004.819261,8121.121106,7938.852166
2209,BTC,3/31/2020,7971.239476,8059.058875,8122.045885,7821.066343
2210,BTC,4/1/2020,7944.347107,7957.890802,8096.903392,7883.646968
2211,BTC,4/2/2020,8201.318763,7944.352412,8307.004901,7885.518625
2212,BTC,4/3/2020,8201.246099,8234.799468,8347.556497,8153.237887
2213,BTC,4/4/2020,8074.409544,8201.244382,8310.665328,8055.948065
2214,BTC,4/5/2020,7421.415836,8028.293815,8055.994888,7308.391946
2215,BTC,4/6/2020,7461.617416,7421.414034,7504.599764,7348.630865
2216,BTC,4/7/2020,8592.223897,7422.571805,8763.680498,7394.261413
2217,BTC,4/8/2020,9172.306532,8592.236577,10333.40951,8592.225768
2218,BTC,4/9/2020,9579.367556,9260.521873,9814.443885,9104.737134
2219,BTC,4/10/2020,9459.22336,9579.364387,9931.974021,9273.656652
2220,BTC,4/11/2020,9456.724693,9229.074502,9552.778726,9126.778457
2221,BTC,4/12/2020,9226.995479,9456.728198,9469.963245,9005.132304
2222,BTC,4/13/2020,9132.41063,9226.997769,9426.44994,8955.89964
2223,BTC,4/14/2020,9198.632345,9132.417153,9292.117644,9048.176594
2224,BTC,4/15/2020,9291.896602,9231.478858,9378.084522,9198.833142
2225,BTC,4/16/2020,9203.415451,9291.899794,9363.633137,9075.382879
2226,BTC,4/17/2020,9370.628081,9204.826007,9527.165195,9126.861531
2227,BTC,4/18/2020,9327.599624,9405.38087,9467.070961,9174.044686
2228,BTC,4/19/2020,9336.752402,9327.592531,9440.215735,9255.732115
2229,BTC,4/20/2020,9227.485821,9332.215796,9365.590814,9089.107628
2230,BTC,4/21/2020,8795.358645,9206.618606,9248.614352,8667.389614
2231,BTC,4/22/2020,8799.042055,8795.36261,8882.909087,8720.961753
2232,BTC,4/23/2020,9082.186878,8799.036067,9124.338511,8743.737626
2233,BTC,4/24/2020,8712.534339,9082.177733,9097.026278,8614.892395
2234,BTC,4/25/2020,8761.892718,8712.536153,8857.381556,8565.937933
2235,BTC,4/26/2020,8750.520591,8761.888546,8838.921252,8704.63545
2236,BTC,4/27/2020,8657.970922,8759.546642,8786.054199,8563.374593
2237,BTC,4/28/2020,8501.643558,8657.971858,8764.903472,8360.849192
2238,BTC,4/29/2020,8470.260899,8501.643936,8540.132174,8424.543205
2239,BTC,4/30/2020,8538.339652,8470.261015,8625.956305,8370.224963
